[  806475ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  806648ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  806794ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  806942ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807087ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807223ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807411ms] [LOG] [Fast Refresh] done in 27ms @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807458ms] [INFO] [2026-09-02T01:18:07.201Z] INFO: Sync completed {"duration":1391,"successCount":0,"failureCount":0,"skippedCount":0,"remainingPending":0,"status":"idle","diagnostics":{"totalAttempts":13,"successfulSyncs":5,"failedSyncs":0,"averageDuration":1526}} @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807740ms] [LOG] %c Console Ninja extension is connected to Next.js browser, background: rgb(30,30,30); color: rgb(255,213,92) see https://tinyurl.com/2vt8jxzw for more info. @ :0
[  807744ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807758ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/112__next_dist_1a10hyl._.js:782
[  807796ms] Error: Hydration failed because the server rendered HTML didn't match the client. As a result this tree will be regenerated on the client. This can happen if a SSR-ed Client Component used:

- A server/client branch `if (typeof window !== 'undefined')`.
- Variable input such as `Date.now()` or `Math.random()` which changes each time it's called.
- Date formatting in a user's locale which doesn't match the server.
- External changing data without sending a snapshot of it along with the HTML.
- Invalid HTML tag nesting.

It can also happen if the client has a browser extension installed which messes with the HTML before React loaded.

https://react.dev/link/hydration-mismatch

  ...
    <ErrorBoundary errorComponent={undefined} errorStyles={undefined} errorScripts={undefined}>
      <LoadingBoundary name="/" loading={null}>
        <HTTPAccessFallbackBoundary notFound={{...}} forbidden={undefined} unauthorized={undefined}>
          <HTTPAccessFallbackErrorBoundary pathname="/trips" notFound={{...}} forbidden={undefined} ...>
            <RedirectBoundary>
              <RedirectErrorBoundary router={{...}}>
                <InnerLayoutRouter url="/trips" tree={[...]} params={{}} cacheNode={{rsc:{...}, ...}} segmentPath={[...]} ...>
                  <SegmentViewNode type="layout" pagePath="(app)/layo...">
                    <SegmentTrieNode>
                    <script>
                    <script>
                    <script>
                    <script>
                    <script>
                    <script>
                    <script>
                    <script>
                    <AuthenticatedLayout>
                      <SyncProvider userId="94ff7e22-1...">
                        <AppShell userLabel="Aby Garcia">
                          <div className="min-h-dvh ...">
                            <a>
+                           <aside
+                             className="fixed inset-y-0 left-0 hidden w-64 border-r bg-card p-5 lg:flex lg:flex-col"
+                           >
-                           <div
-                             role="status"
-                             className="bg-accent px-4 py-2 text-center text-sm text-accent-foreground"
-                           >
                            ...
                ...
    ...

    at throwOnHydrationMismatch (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:3120:56)
    at beginWork (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:6585:918)
    at runWithFiberInDEV (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:761:74)
    at performUnitOfWork (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:9385:97)
    at workLoopConcurrentByScheduler (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:9381:58)
    at renderRootConcurrent (http://localhost:3000/_next/static/chunks/112__next_dist_compiled_react-dom_0fo5_73._.js:9364:71)
